specimen_id,assay_target,npx
S-P01-NL,TYK2,4.495
S-P01-NL,IL17A,3.583
S-P01-NL,S100A8,5.724
S-P01-NL,IFNG,4.604
S-P01-L,TYK2,5.216
S-P01-L,IL17A,2.905
S-P01-L,S100A8,3.271
S-P01-L,IFNG,1.852
S-P02-NL,TYK2,3.591
S-P02-NL,IL17A,2.784
S-P02-NL,S100A8,3.925
S-P02-NL,IFNG,2.436
S-P02-L,TYK2,4.044
S-P02-L,IL17A,1.56
S-P02-L,S100A8,3.067
S-P02-L,IFNG,4.206
S-P03-NL,TYK2,3.911
S-P03-NL,IL17A,1.88
S-P03-NL,S100A8,3.061
S-P03-NL,IFNG,3.537
S-P03-L,TYK2,4.551
S-P03-L,IL17A,3.47
S-P03-L,S100A8,5.696
S-P03-L,IFNG,2.493
S-P04-NL,TYK2,3.122
S-P04-NL,IL17A,4.522
S-P04-NL,S100A8,1.814
S-P04-NL,IFNG,3.401
S-P04-L,TYK2,3.84
S-P04-L,IL17A,3.263
S-P04-L,S100A8,2.873
S-P04-L,IFNG,4.461
S-P05-NL,TYK2,3.946
S-P05-NL,IL17A,3.121
S-P05-NL,S100A8,1.737
S-P05-NL,IFNG,3.432
S-P05-L,TYK2,4.663
S-P05-L,IL17A,1.455
S-P05-L,S100A8,2.04
S-P05-L,IFNG,3.298
S-P06-NL,TYK2,4.538
S-P06-NL,IL17A,2.204
S-P06-NL,S100A8,1.508
S-P06-NL,IFNG,2.719
S-P06-L,TYK2,5.0
S-P06-L,IL17A,5.428
S-P06-L,S100A8,4.822
S-P06-L,IFNG,2.595
S-P07-NL,TYK2,4.831
S-P07-NL,IL17A,4.592
S-P07-NL,S100A8,2.957
S-P07-NL,IFNG,5.263
S-P07-L,TYK2,5.723
S-P07-L,IL17A,2.52
S-P07-L,S100A8,2.898
S-P07-L,IFNG,3.992
S-P08-NL,TYK2,3.35
S-P08-NL,IL17A,3.629
S-P08-NL,S100A8,5.668
S-P08-NL,IFNG,1.365
S-P08-L,TYK2,4.291
S-P08-L,IL17A,5.572
S-P08-L,S100A8,4.477
S-P08-L,IFNG,4.705
S-P09-NL,TYK2,3.817
S-P09-NL,IL17A,4.986
S-P09-NL,S100A8,5.723
S-P09-NL,IFNG,4.535
S-P09-L,TYK2,4.508
S-P09-L,IL17A,5.363
S-P09-L,S100A8,1.536
S-P09-L,IFNG,4.156
S-P10-NL,TYK2,3.071
S-P10-NL,IL17A,3.171
S-P10-NL,S100A8,4.57
S-P10-NL,IFNG,5.92
S-P10-L,TYK2,4.013
S-P10-L,IL17A,5.125
S-P10-L,S100A8,2.053
S-P10-L,IFNG,5.91
S-P11-NL,TYK2,4.626
S-P11-NL,IL17A,1.927
S-P11-NL,S100A8,2.265
S-P11-NL,IFNG,5.147
S-P11-L,TYK2,5.855
S-P11-L,IL17A,1.385
S-P11-L,S100A8,5.989
S-P11-L,IFNG,3.681
S-P12-NL,TYK2,4.824
S-P12-NL,IL17A,1.696
S-P12-NL,S100A8,5.217
S-P12-NL,IFNG,1.616
S-P12-L,TYK2,5.535
S-P12-L,IL17A,5.061
S-P12-L,S100A8,4.52
S-P12-L,IFNG,1.585
